,Vehicle ID,Frame Id,Lane Id,LocalY,Mean Speed,Mean Acceleration,Vehicle Length,Vehicle Class Id,Follower Id,Leader Id,LocalY_leader,Mean Speed_leader,Vehicle Length_leader,Driving Regime
8878,36.0,152.0,3.0,85.23353,0.14702,-1.12661,7.5599,3.0,50.0,-1.0,,,,D
8879,36.0,153.0,3.0,85.23353,0.0,-1.47015,7.5599,3.0,50.0,-1.0,,,,S
8880,36.0,154.0,3.0,85.23353,0.0,0.0,7.5599,3.0,50.0,-1.0,,,,S
8881,36.0,155.0,3.0,85.23353,0.0,0.0,7.5599,3.0,50.0,-1.0,,,,A
8882,36.0,156.0,3.0,85.24475,0.11214,1.12144,7.5599,3.0,50.0,-1.0,,,,A
8883,36.0,157.0,3.0,85.26404,0.19291,0.80762,7.5599,3.0,50.0,-1.0,,,,A
8884,36.0,158.0,3.0,85.29522,0.31186,1.18954,7.5599,3.0,50.0,-1.0,,,,A
8885,36.0,159.0,3.0,85.34173,0.46503,1.5317,7.5599,3.0,50.0,-1.0,,,,A
8886,36.0,160.0,3.0,85.40572,0.63994,1.74914,7.5599,3.0,50.0,-1.0,,,,A
8887,36.0,161.0,3.0,85.48687,0.81146,1.71513,7.5599,3.0,50.0,-1.0,,,,A
8888,36.0,162.0,3.0,85.58236,0.95491,1.43455,7.5599,3.0,50.0,-1.0,,,,A
8889,36.0,163.0,3.0,85.68821,1.05856,1.03649,7.5599,3.0,50.0,-1.0,,,,A
8890,36.0,164.0,3.0,85.80074,1.12526,0.667,7.5599,3.0,50.0,-1.0,,,,A
8891,36.0,165.0,3.0,85.91726,1.16523,0.39968,7.5599,3.0,50.0,-1.0,,,,F
8892,36.0,166.0,3.0,86.03611,1.18848,0.23257,7.5599,3.0,50.0,-1.0,,,,F
8893,36.0,167.0,3.0,86.1563,1.20193,0.13443,7.5599,3.0,50.0,-1.0,,,,F
8894,36.0,168.0,3.0,86.27728,1.20976,0.07837,7.5599,3.0,50.0,-1.0,,,,F
8895,36.0,169.0,3.0,86.39873,1.21453,0.0477,7.5599,3.0,50.0,-1.0,,,,F
8896,36.0,170.0,3.0,86.52051,1.21776,0.03225,7.5599,3.0,50.0,-1.0,,,,F
8897,36.0,171.0,3.0,86.64255,1.2204,0.02643,7.5599,3.0,50.0,-1.0,,,,F
